Date,Dividends
2010-06-18,0.089
2011-12-16,0.161
2012-06-15,0.143
2016-09-16,0.294
2012-09-21,0.2
2014-09-19,0.238
2018-12-24,0.421
2019-06-24,0.416
2010-09-17,0.112
2019-09-23,0.384
2011-12-27,0.049
2017-03-17,0.274
2015-03-20,0.248
2019-03-18,0.324
2011-03-18,0.077
2013-03-15,0.159
2017-06-16,0.378
2013-06-21,0.224
2013-12-20,0.272
2015-06-19,0.254
2015-12-18,0.342
2017-12-18,0.329
2020-03-23,0.363
2010-12-17,0.108
2011-06-17,0.121
2013-09-20,0.238
2015-09-18,0.26
2014-02-27,0.373
2017-09-18,0.319
2019-12-23,0.458
2011-09-16,0.104
2018-09-24,0.33
2014-03-21,0.206
2016-03-18,0.318
2018-03-19,0.277
2010-03-19,0.051
2012-03-16,0.113
2016-06-17,0.287
2016-12-16,0.355
2010-06-25,0.089
2012-12-21,0.367
2014-06-20,0.249
2014-12-19,0.387
2018-06-18,0.378